original_drug,Focus (Drug)
rivastigmine,Trimethoprim-sulfamethoxazole
morphine,Clarithromycin
desonide ointment,Amoxicillin
Tylenol,Cefixime
Breo inhaler,Levofloxacin
Qvar,Doxycycline
cyclosporine,Cefuroxime
Synthroid,Azithromycin
fluvastatin,Cefotaxime
Lansoprazole,Ciprofloxacin
fluorouracil,Nitrofurantoin
Levetiracetam,Fosfomycin
terazosin,Amoxicillin
meloxicam,Azithromycin
nitroglycerin,Levofloxacin
neupro and ropinirole,Cefixime
prevnar,Clarithromycin
oxycodone,Nitrofurantoin
lithium,Cefuroxime
MST,Ciprofloxacin
metoprolol succinate,Trimethoprim-sulfamethoxazole
denosumab,Doxycycline
barbiturates,Fosfomycin
insulin,Cefotaxime
Levaquin,Amoxicillin
formaldehyde,Doxycycline
cyclobenzaprine | benzodiazepine,Fosfomycin
Rapaflo,Cefotaxime
Vyvanse,Cefixime
insulin glargine,Azithromycin
metoprolol tartrate,Cefuroxime
corticosteroids,Nitrofurantoin
drugs that reduce cholesterol,Clarithromycin
Gardasil,Levofloxacin
cromolyn,Ciprofloxacin
lorazepam,Trimethoprim-sulfamethoxazole
thymol,Levofloxacin
zolpidem,Cefixime
mercaptopurine,Ciprofloxacin
fluorouracil,Cefuroxime
methylphenidate,Amoxicillin
normal saline,Nitrofurantoin
Zostavax,Cefotaxime
Ciprodex,Trimethoprim-sulfamethoxazole
codeine,Clarithromycin
Toradol IM,Doxycycline
Concerta and Lexapro,Azithromycin
Simvastatin,Fosfomycin
Antibiotics,Trimethoprim-sulfamethoxazole
pravastatin,Nitrofurantoin
ketorolac eye drops,Levofloxacin
diabetes medicine,Doxycycline
ecstasy,Clarithromycin
valsartan,Amoxicillin
Keflex,Ciprofloxacin
nanosilver,Cefuroxime
Vicodin,Cefotaxime
cocaine,Azithromycin
amphetamine,Cefixime
hydrochlorothiazide,Fosfomycin
peppermint oil,Cefixime
Clotrimazole,Cefuroxime
opioids,Nitrofurantoin
Herceptin,Cefotaxime
Chelated magnesium,Azithromycin
"Carbidopa and Levodopa, extended release",Doxycycline
Medroxyprogesterone,Levofloxacin
Guanfacine,Clarithromycin
Lexapro,Trimethoprim-sulfamethoxazole
Clindamycin,Ciprofloxacin
Hydromorphone,Amoxicillin
n/a (Exploration),Fosfomycin
Restoril,Fosfomycin
Spironolactone,Doxycycline
Simvastatin,Azithromycin
Statin,Trimethoprim-sulfamethoxazole
Pain Medications,Nitrofurantoin
Metroprolol succinate,Ciprofloxacin
Antibiotics,Cefotaxime
Dermgard,Clarithromycin
"Meloxicam, Tylenol and Codeine",Cefixime
Warfarin,Levofloxacin
"Doxepin, Prexum",Amoxicillin
Tramadol,Doxycycline
Kadian,Amoxicillin
Oxycodone,Cefotaxime
Acebutolol Hydrochloride,Nitrofurantoin
Diclofenac,Cefixime
Succinylcholine,Clarithromycin
Benazepril,Cefuroxime
"Insulin, Glycogen",Ciprofloxacin
Amiodarone,Fosfomycin
"Dapagliflozin, Metformin",Azithromycin
Prozac,Trimethoprim-sulfamethoxazole
topamax,Levofloxacin
Urosodiol,Trimethoprim-sulfamethoxazole
"Cataflam, Medrol",Cefotaxime
Insulin,Azithromycin
Amphetamine,Levofloxacin
"Eliquis, Metoprolol",Doxycycline
Bupropion,Clarithromycin
Enoxparin Sodium,Ciprofloxacin
Heroin,Nitrofurantoin
Penicillin,Cefixime
Insulin,Fosfomycin
Thyroid medications,Cefuroxime
Biologic,Amoxicillin
Prednisone,Levofloxacin
Ceftriaxone,Doxycycline
"Acetaminophen, Codeine Phosphate",Azithromycin
Statin,Ciprofloxacin
Aldosterone,Trimethoprim-sulfamethoxazole
"Ramipril, Cabergoline",Clarithromycin
Lansoprazole,Cefuroxime
Herpes zoster vaccine,Cefotaxime
"Glargine, Insulin",Nitrofurantoin
Naproxen,Cefixime
Aldactazide,Fosfomycin
Albuterol,Nitrofurantoin
Pyridostigmine,Clarithromycin
"Acetaminophen, Codeine Phosphate",Cefotaxime
Norvasc,Fosfomycin
Herpes zoster vaccine,Ciprofloxacin
Bioflavonoid,Levofloxacin
Boric Acid Powder,Doxycycline
Oxycodone,Trimethoprim-sulfamethoxazole
premarin,Amoxicillin
mucinex fast-max,Cefixime
blood pressure medicine,Azithromycin
qvar,Cefuroxime
fentanyl,Trimethoprim-sulfamethoxazole
risedronate,Levofloxacin
lexapro,Clarithromycin
dydrogesterone,Cefixime
magnesium citrate,Nitrofurantoin
levetiracetam,Azithromycin
hydrochlorothiazide,Cefotaxime
spiriva,Amoxicillin
butalbital,Fosfomycin
testosterone,Ciprofloxacin
beta blockers,Doxycycline
Viagra,Cefuroxime
Lasix,Trimethoprim-sulfamethoxazole
diuretic drug for fluid build up,Cefuroxime
enoxaparin,Nitrofurantoin
antiviral drugs,Doxycycline
entecavir,Azithromycin
nicotine,Levofloxacin
Sutent,Clarithromycin
nifedipine ER,Ciprofloxacin
insulin,Amoxicillin
spironolactone + furosemide,Fosfomycin
dutasteride,Cefotaxime
Tudorza Pressair,Cefixime
metoprolol + Lexapro,Amoxicillin
amlodipine,Azithromycin
memantine,Cefotaxime
memantine,Cefixime
memantine,Levofloxacin
memantine,Clarithromycin
tylenol,Cefuroxime
heroin,Ciprofloxacin
prevnar,Doxycycline
medications that contribute to non-alcoholic fatty liver,Fosfomycin
heparin,Nitrofurantoin
drugs that cause erectile dysfunction,Fosfomycin
latanoprost,Azithromycin
(Voltaren or Cataflam) and Medrol,Doxycycline
bcg vaccine,Trimethoprim-sulfamethoxazole
biotin,Cefuroxime
diazepam gel,Levofloxacin
malox,Nitrofurantoin
pepsin,Ciprofloxacin
glipizide,Cefotaxime
phenytoin,Amoxicillin
phenytoin,Clarithromycin
phenytoin,Cefixime
xanax,Ciprofloxacin
anti inflammatory gel,Levofloxacin
hydrocodone + acetaminophen,Nitrofurantoin
percocet,Trimethoprim-sulfamethoxazole
memantine,Amoxicillin
blood thinner pills,Azithromycin
coumadin,Doxycycline
megestrol,Clarithromycin
fluorouracil,Cefotaxime
cetuximab,Cefuroxime
streptomycin,Fosfomycin
Luvox + Quillivant,Nitrofurantoin
albuterol nebulizers,Doxycycline
testosterone injection,Amoxicillin
statins,Azithromycin
Cymbalta and Effexor,Clarithromycin
steroids,Levofloxacin
pramoxine,Cefuroxime
morphine,Trimethoprim-sulfamethoxazole
metoclopramide,Cefotaxime
metoclopramide,Fosfomycin
metoclopramide,Ciprofloxacin
metoclopramide,Trimethoprim-sulfamethoxazole
finasteride,Cefotaxime
zoledronic acid,Doxycycline
antibiotics,Ciprofloxacin
Viagra,Azithromycin
heparin,Fosfomycin
enalaprilat,Cefixime
mebendazole,Nitrofurantoin
levetiracetam,Levofloxacin
divalproex,Amoxicillin
divalproex,Cefuroxime
gabapentin,Clarithromycin
oxycodone,Doxycycline
ASA EC,Clarithromycin
glucosamine,Azithromycin
polyethylene glycol,Nitrofurantoin
bumetanide,Fosfomycin
bumetanide,Cefixime
bumetanide,Cefotaxime
methylprednisolone,Trimethoprim-sulfamethoxazole
metformin,Amoxicillin
amphetamine,Ciprofloxacin
valacyclovir,Cefuroxime
valacyclovir,Levofloxacin
valacyclovir,Cefixime
pantoprazole and Plavix,Clarithromycin
trimethoprim and blood pressure medication,Cefuroxime
antidepressants,Cefotaxime
Supartz FX,Azithromycin
famotidine 10 mg,Trimethoprim-sulfamethoxazole
peppermint oil,Nitrofurantoin
alprazolam,Doxycycline
magnesium and Dilantin,Fosfomycin
acetylcholine,Amoxicillin
carprofen,Ciprofloxacin
lansoprazole,Cefotaxime
Efudex,Doxycycline
drugs that cause hypopigmentation,Clarithromycin
Invokana,Trimethoprim-sulfamethoxazole
zoledronic acid,Azithromycin
steroids,Amoxicillin
bimatoprost ophthalmic,Ciprofloxacin
dopamine,Nitrofurantoin
epinephrine pen,Cefuroxime
cefazolin,Levofloxacin
Actonel,Cefixime
brimonidine,Fosfomycin
Prevnar,Cefixime
tetanus shot,Fosfomycin
lidocaine rinse,Nitrofurantoin
oxybutynin,Doxycycline
hydrocodone,Trimethoprim-sulfamethoxazole
Eliquis,Amoxicillin
albuterol sulfate inhalation solution,Azithromycin
metoprolol,Cefotaxime
"simvastatin, PPI",Clarithromycin
insulin,Levofloxacin
citalopram,Ciprofloxacin
epidural steroid injection (ESI),Cefuroxime
Singulair,Cefuroxime
diclofenac sodium,Cefotaxime
simvastatin,Trimethoprim-sulfamethoxazole
clopidogrel,Nitrofurantoin
hormonal contraceptives,Azithromycin
Nicoderm,Clarithromycin
fluoride,Levofloxacin
peppermint oil,Doxycycline
clonidine,Amoxicillin
enoxaparin shot,Ciprofloxacin
metformin,Cefixime
cortisol,Fosfomycin
Epsom salt,Amoxicillin
prochlorperazine,Clarithromycin
valacyclovir,Ciprofloxacin
toradol,Nitrofurantoin
carbamazepine,Cefuroxime
docusate sodium,Azithromycin
valacyclovir,Fosfomycin
glucagon,Doxycycline
gemfibrozil; lovastatin,Cefixime
prevnar,Levofloxacin
cyanocobalamin,Cefotaxime
beta vulgaris,Trimethoprim-sulfamethoxazole
grapefruit,Cefixime
vancomycin,Clarithromycin
amiodarone,Ciprofloxacin
fluoxetine,Cefuroxime
lantus solostar,Amoxicillin
diazepam,Fosfomycin
estradiol transdermal patch; estrogen,Azithromycin
prednisone,Nitrofurantoin
fluocinonide .05% gel,Cefotaxime
hydrogen peroxide,Levofloxacin
hepatitits B vaccine,Doxycycline
Acetaminophen,Trimethoprim-sulfamethoxazole
metformin,Doxycycline
diclofenac sodium topical gel,Levofloxacin
cilastatin/imipenem,Fosfomycin
beta blocker,Azithromycin
cocaine,Cefotaxime
guaifenesin,Cefixime
minocycline,Cefuroxime
amlodipine,Amoxicillin
RIVA-CLONAZEPAM (clonazepam),Clarithromycin
diclofenac,Trimethoprim-sulfamethoxazole
cortisone,Nitrofurantoin
benzonatate,Ciprofloxacin
tretinoin,Fosfomycin
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Doxycycline
triamcinolone acetonide,Trimethoprim-sulfamethoxazole
benzodiazepines,Levofloxacin
zithromax,Azithromycin
Dimenhydrinate,Cefuroxime
nicotine,Amoxicillin
nicotine,Cefixime
nicotine,Nitrofurantoin
brinzolamide/brimodine,Cefotaxime
drug & food,Clarithromycin
fentanyl,Ciprofloxacin
heroin,Fosfomycin
"heroin, fentanyl",Cefuroxime
pramipexole,Ciprofloxacin
cyanocobalamin,Trimethoprim-sulfamethoxazole
celebrex,Amoxicillin
vicodin,Cefotaxime
xifaxan,Cefixime
"cymbalta, muscle relaxants",Doxycycline
clotrimazole,Clarithromycin
clonidine,Azithromycin
spacer,Nitrofurantoin
clonazepam,Levofloxacin
cyanocobalamin,Clarithromycin
ultibro,Nitrofurantoin
omeprazole,Doxycycline
u02,Cefixime
latanoprost ophthalmic,Cefotaxime
bsg vaccine,Fosfomycin
shingrix,Azithromycin
fentanyl,Levofloxacin
ceftriaxone,Cefuroxime
warfarin,Ciprofloxacin
lidocaine,Trimethoprim-sulfamethoxazole
simvastatin,Amoxicillin
Thera-Tabs,Cefuroxime
warfarin; spices,Amoxicillin
steroids,Azithromycin
steroids,Nitrofurantoin
antibiotics,Cefotaxime
trospium chloride,Clarithromycin
aspirin,Doxycycline
QVAR,Fosfomycin
eliquis; cialis,Cefixime
jalyn,Ciprofloxacin
topiramate,Trimethoprim-sulfamethoxazole
spironolactone,Levofloxacin
moxifloxacin,Ciprofloxacin
vaccination,Cefotaxime
Pneumococcal Vaccines,Nitrofurantoin
Pneumococcal Vaccines,Cefixime
Pneumococcal Vaccines,Amoxicillin
vomiting of medication,Clarithromycin
prevnar,Azithromycin
clotrimazole and betamethasone dipropionate,Cefuroxime
llevodopa and carbidopa; alcohol,Doxycycline
fluorouracil cream,Fosfomycin
drugs that cause hirsutism,Levofloxacin
formoterol,Trimethoprim-sulfamethoxazole
"rivaroxaban, painkillers",Azithromycin
steroid injections,Amoxicillin
nicoderm,Cefixime
warfarin; cabbage,Fosfomycin
rosuvastatin,Clarithromycin
glucagon & insulin,Cefuroxime
ultram ; ibuprofen,Cefotaxime
herceptin,Doxycycline
bupropion hcl 300mg,Trimethoprim-sulfamethoxazole
td vaccine,Ciprofloxacin
testosterone injection,Nitrofurantoin
carvedilol,Doxycycline
dicyclomine,Azithromycin
iron injections,Cefuroxime
"plavix, xarelto,  dilaudid",Nitrofurantoin
erythromycin ointment,Amoxicillin
ceftriaxone injection,Levofloxacin
lasix,Ciprofloxacin
nivolumab,Cefotaxime
fluorouracil,Trimethoprim-sulfamethoxazole
fluorouracil,Fosfomycin
tocilizumab,Clarithromycin
diclofenac,Cefixime
cephalexin,Azithromycin
terfenadine,Clarithromycin
bisolvon,Fosfomycin
amlodipine; metoprolol,Amoxicillin
bystolic,Ciprofloxacin
"fluticasone, oxygen",Cefuroxime
