mtermID,mterm,synonyms,definition,referenceID,validatorID
MT001,Active Pharmaceutical Ingredients,"APIs, API, active ingredients, pharmaceutical actives",biologically active ingredients in a pharmaceutical drug,"R001
",
MT002,Antimicrobial Stewardship,"AMS, antimicrobial stewardship program, antibiotic stewardship","coordinated interventions designed to promote, improve, monitor, and evaluate the judicious use of antimicrobials so as to preserve their future effectiveness and to promote and protect human and animal health. ",R002,
MT003,Antimicrobial Resistance,"AMR, drug resistance, antibiotic-resistant","microorganisms such as bacteria, fungi, viruses and parasites change when exposed to antimicrobial drugs such as antibiotics (= antibacterials), antifungals, antivirals, antimalarials and anthelmintics. As a result, the medicines become ineffective.",R003,
MT004,Antibiotic,antibacterial,A drug that kills or stops the growth of bacteria. Antibiotics are a type of antimicrobial. Penicillin and ciprofloxacin are examples of antibiotics.,R004,
MT005,Antimicrobial,,"a substance that kills or stops the growth of microbes, including bacteria, fungi, or viruses. Antimicrobial agents are grouped according to the microbes they act against (antibiotics [bacteria], antifungals [fungi], and antivirals [viruses]). Also referred to as drugs.",R004,
MT006,Microbes,,"Living organisms, like bacteria, fungi, or viruses, which can cause infections or disease. Also referred to as germs.",R004,
MT007,Antibiogram,,A laboratory resource used to determine the sensitivity of a bacterial strain to different antibiotics. A cumulative antibiogram provides a profile of antibacterial susceptibilities within an institution or aggregation of institutions over a given period time to monitor trends in antibacterial resistance and to guide empirical antibacterial therapy selection.,R002,
MT008,Nosocomial infection,"Healthcare associated infection (HAI), Hospital-acquired infection","An infection acquired in the hospital, excluding infections incubating at time of admission.",R002,
MT009,Empirical antibiotic treatment,"empirical therapy, empirical treatment","initial antibiotic treatment targeted at the most probable causative microorganism. The recommendations should be based on local susceptibility data, available scientific evidence or expert opinion, when evidence is lacking.",R003,
MT010,Optimal duration treatment,,"The ideal length of time for treatment with antimicrobials to prevent disease relapse and antimicrobial resistance, and also to ensure patient safety and cost-effectiveness.",R002,
MT011,Superbug,,A strain or type of bacterium that has become resistant to the majority of current antibiotics,R005,
MT012,Responsible use,"Rational antimicrobial use, Prudent use, Judicial use","This term implies that activities and capabilities of human and animal health systems are aligned to ensure that patients receive the right treatment at the right time, use these drugs appropriately, and benefit from them.",R002,
MT013,Defined Daily Dose (DDD),,Assumed average maintenance dose per day for a drug used for its main indication in its target species.,R002,
MT014,Selective pressure,Squeezing the balloon,"A driving force of evolution and natural selection, selective pressure is any phenomena which alters the reproductive behavior and fitness of living organisms within their environment. Antimicrobial- use creates a strong selective pressure as microbes that are able to survive despite antimicrobial treatment can proliferate and extend their reproductive advantage within the microbial community.",R002,
MT015,Combination therapy,,Treatment involving more than one drug. A rationale for use of combination therapy has been the lesser likelihood that a pathogen develops resistance to multiple drugs.,R002,
MT016,Antibiotic Misuse,"inappropriate use, unneccessary use","the inappropriate or, improper overuse of antibiotics, often without medical justification, with potentially serious negative effects on health.",R005,
MT017,Multidrug Resistance,MDR,"Resistant to more than one type of antimicrobial, whether antibiotics, antivirals, antifungal, or antiparasitic drugs; thus, few or no effective treatments are available for MDR infections.",R005,
MT018,Antibiotic prophylaxis,"Prophylactic antibiotic therapy, prophylaxis","Administration of antibiotics before evidence of infection, that is intended to ward off disease.",R006,
MT019,Resistome,,"The reservoir of all types of antibiotic resistance genes (acquired or intrinsic), their precursors, and potential resistance mechanisms that directly or indirectly result in resistance.",R002,
MT020,Antimicrobial time-out,,An active reassessment of an antimicrobial prescription 48–72 hours after first administration to allow medical staff to take into account laboratory culture and susceptibility testing results and the patient’s response to therapy and current condition.,R004,